Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
,Astartidae,278202,Metazoans,10,429.8,0.019607843,-,-9.995145617,3%-4%,-,-
,Chrysolopus spectabilis,201868,Arthropods,1,22.6,0.001036269,-,-9.990078008,3%-4%,-,-
,Cardopatium corymbosum,143178,Embryophytes,1,30.8,0.001412429,-,-9.989958784,3%-4%,-,-
,Macrosoma,40133,Arthropods,26,70.5,0.003235441,-,-9.989202898,3%-4%,-,-
,Scoliidae,7435,Arthropods,32,158.3,0.007269423,-,-9.988570326,3%-4%,-,-
,Gymnopodium floribundum,655499,Embryophytes,1,44.6,0.002053388,-,-9.985997982,3%-4%,-,-
,Diphysciaceae,114653,Embryophytes,15,162.9,0.007518797,-,-9.983485644,3%-4%,-,-
,Eustegia minuta,157414,Embryophytes,1,30,0.001385042,-,-9.983222521,3%-4%,-,-
,Pyramidelloidea,160014,Metazoans,58,296,0.013724562,-,-9.978927642,3%-4%,-,-
,Thalasseleotrididae,1489881,Actinopterians,3,56.2,0.002606429,-,-9.978690877,3%-4%,-,-
loach gobies,Rhyacichthyidae,86200,Actinopterians,3,56.2,0.002606429,-,-9.978690877,3%-4%,-,-
,Xenisthmus,86215,Actinopterians,3,56.2,0.002606429,-,-9.978690877,3%-4%,-,-
,Hureae,235894,Embryophytes,4,73.8,0.003436426,-,-9.974681999,3%-4%,-,-
parasitic flat bark beetles,Passandridae,196983,Arthropods,5,187.0222222,0.008710801,-,-9.974418929,3%-4%,-,-
,Megalopodinae,131663,Arthropods,4,128.4,0.005988024,-,-9.973144204,3%-4%,-,-
,Mulgravea,7337,Arthropods,2,65.2,0.00304414,-,-9.971996307,3%-4%,-,-
,Paraliodrosophila,7343,Arthropods,2,65.2,0.00304414,-,-9.971996307,3%-4%,-,-
,Aphanopetalum,131159,Embryophytes,2,66.9,0.003125,-,-9.971519963,3%-4%,-,-
,Cercidiphyllum,13412,Embryophytes,2,66.6,0.003125,-,-9.967025573,3%-4%,-,-
,Unipeltata,77689,Arthropods,88,340,0.01600582,-,-9.963748472,3%-4%,-,-
,Mastotermes,13138,Arthropods,5,144.7,0.006811989,-,-9.96373375,3%-4%,-,-
,Paulownia,39251,Embryophytes,6,52.7,0.002485501,-,-9.961896388,3%-4%,-,-
tube-dwelling anemones,Ceriantharia,37512,Metazoans,21,364,0.017170891,-,-9.961693566,3%-4%,-,-
,Phalacromyrmecini,144014,Arthropods,2,71.3,0.003367003,-,-9.960628466,3%-4%,-,-
tongue worms,Pentastomida,7561,Arthropods,37,463.5,0.021919431,-,-9.959188148,3%-4%,-,-
,Stifftieae,494654,Embryophytes,11,36.7,0.001745201,-,-9.953662472,3%-4%,-,-
,Oenosandridae,655177,Arthropods,13,62.95,0.002996082,-,-9.952790589,3%-4%,-,-
,Scydmaenidae,66528,Arthropods,27,268,0.012802276,-,-9.949119295,3%-4%,-,-
,Ticodendron incognitum,60428,Embryophytes,1,50.5,0.002415459,-,-9.94783931,3%-4%,-,-
,Anisopheidole antipodum,603032,Arthropods,1,40.62857143,0.001956947,-,-9.940841139,3%-4%,-,-
,Kartidris sparsipila,610647,Arthropods,1,40.62857143,0.001956947,-,-9.940841139,3%-4%,-,-
cartilaginous fishes,Chondrichthyes,7777,Vertebrates,1126,473.3,0.022857839,-,-9.9381906,3%-4%,-,-
,Utsetela neglecta,241940,Embryophytes,1,48,0.002320186,-,-9.937309101,3%-4%,-,-
,Dipsocoromorpha,33348,Arthropods,55,302,0.014619883,-,-9.935799842,3%-4%,-,-
,Eretmoptera murphyi,315575,Arthropods,1,128.1,0.00621118,-,-9.934215574,3%-4%,-,-
,Escalloniales,703245,Embryophytes,51,92.1,0.004476433,-,-9.931803721,3%-4%,-,-
,Tetracampidae,108386,Arthropods,12,156.9,0.007628735,-,-9.931441913,3%-4%,-,-
meniscus midges,Dixidae,41824,Arthropods,8,190,0.009259259,-,-9.929155299,3%-4%,-,-
,Biebersteinia,74350,Embryophytes,4,85.2,0.004175365,-,-9.923554851,3%-4%,-,-
,Hybosoridae,110053,Arthropods,19,188.9333333,0.009277344,-,-9.921574226,3%-4%,-,-
,Anoecia,133066,Arthropods,5,107.3,0.005279831,-,-9.91948983,3%-4%,-,-
,Thysanolaena latifolia,38729,Embryophytes,1,34.3,0.001692047,-,-9.916961372,3%-4%,-,-
,Hillebrandia sandwicensis,48236,Embryophytes,1,35.8,0.001769912,-,-9.914773625,3%-4%,-,-
,Heptapsogasteridae,138817,Arthropods,7,163.2,0.008073818,-,-9.91410527,3%-4%,-,-
,Wellstedia,1037443,Embryophytes,3,69.5,0.003452244,-,-9.910057589,3%-4%,-,-
,Jubulaceae,56911,Embryophytes,4,156.6,0.007782101,-,-9.909623688,3%-4%,-,-
,Colilipeurus colius,160109,Arthropods,1,64.9,0.003225806,-,-9.909419921,3%-4%,-,-
,Trichophilopterus babakotophilus,160202,Arthropods,1,64.9,0.003225806,-,-9.909419921,3%-4%,-,-
,Myrmoteras,237691,Arthropods,3,80.7,0.004032258,-,-9.904167321,3%-4%,-,-
,Filistatidae,94010,Arthropods,4,287.6,0.014388489,-,-9.902897378,3%-4%,-,-
,Georthocladius shiotanii,1042863,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Anzacladius kiwi,559853,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Hydrosmittia oxoniana,1828805,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Tokunagayusurika akamusi,28383,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Heterotanytarsus apicalis,879752,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Paracladius quadrinodosus,611574,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Parorthocladius korneyevi,1532162,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Prosmittia jemtlandica,1790200,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Kaniwhaniwhanus chapmani,903454,Arthropods,1,123.61875,0.00621118,-,-9.898606598,3%-4%,-,-
,Neogammarus nudus,1522927,Arthropods,1,45,0.002262443,-,-9.897972372,3%-4%,-,-
wrinkled bark beetles,Rhysodinae,63897,Arthropods,5,109.9833333,0.005530973,-,-9.897720287,3%-4%,-,-
,Lebiinae,878118,Arthropods,5,109.9833333,0.005530973,-,-9.897720287,3%-4%,-,-
,Mycteridae,219443,Arthropods,7,179.175,0.009032258,-,-9.895315862,3%-4%,-,-
,Catapiesis brasiliensis,63925,Arthropods,1,55.5,0.00280112,-,-9.894118803,3%-4%,-,-
,Raninoida,116705,Arthropods,15,196,0.009927201,-,-9.89059142,3%-4%,-,-
,Neuradaceae,26772,Embryophytes,3,43.55,0.002220577,-,-9.883897753,3%-4%,-,-
,Verhuellia,447312,Embryophytes,2,90.9,0.004651163,-,-9.880398029,3%-4%,-,-
,Cyriopagopus schioedtei,1046902,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Eupalaestrus campestratus,1155770,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Pterinochilus murinus,1184495,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Hysterocrates gigas,118972,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Stromatopelma calceatum,269628,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Poecilotheria regalis,1203470,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Selenotypus plumipes,1395661,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Iridopelma hirsutum,1712235,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Chromatopelma cyaneopubescens,1795674,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Cyrtopholis flavostriata,1795676,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Ischnocolus valentinus,1795678,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Agnostopelma gardel,1795680,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Citharacanthus cyaneus,1795688,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Encyocratella olivacea,1795694,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Ephebopus cyanognathus,1795696,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Euathlus truculentus,1795698,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Heterothele villosella,1795700,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Megaphobema robustum,1795702,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Nhandu tripepii,1795704,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Plesiopelma longisternale,1795706,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Pterinopelma sazimai,1795708,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Vitalius paranaensis,1795710,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Bistriopelma matuskai,1795712,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Heteroscodra maculata,268413,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Paraphysa scrofa,269635,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Ceratogyrus marshalli,316287,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
king baboon spider,Pelinobius muticus,753628,Arthropods,1,17.9,0.000918274,-,-9.877815836,3%-4%,-,-
,Hilarimorphidae,240887,Arthropods,3,127.525,0.006550218,-,-9.876569319,3%-4%,-,-
harvester termites,Hodotermitidae,70920,Arthropods,4,106,0.005449591,-,-9.875653762,3%-4%,-,-
,Schlegeliaceae,91897,Embryophytes,8,64.19285714,0.003314002,-,-9.871490805,3%-4%,-,-
,Ophioglossidae,1521257,Embryophytes,90,372.6,0.019251337,-,-9.87068023,3%-4%,-,-
,Gebiidea,1792266,Arthropods,32,310.1,0.016024036,-,-9.870560257,3%-4%,-,-
,Himantopterus,287166,Arthropods,2,118.2666667,0.006134969,-,-9.866692163,3%-4%,-,-
,Elateriospermum tapos,212299,Embryophytes,1,42.8,0.002222222,-,-9.865785685,3%-4%,-,-
,Kuwania,1414530,Arthropods,4,215.6,0.011204482,-,-9.86486626,3%-4%,-,-
,Hydrodytes,183332,Arthropods,3,61.35,0.003208556,-,-9.858529412,3%-4%,-,-
,Gisekia,3529,Embryophytes,4,46,0.002406739,-,-9.858124011,3%-4%,-,-
,Hemisus,83970,Amphbians,2,74.1,0.003883495,-,-9.856435252,3%-4%,-,-
,Ormyridae,272228,Arthropods,13,156.9,0.008264463,-,-9.851399205,3%-4%,-,-
,Galbuliformes,118184,Aves,30,64.79146917,0.003416078,0.959826268,-9.850436016,3%-4%,-4.208624187,14.69237027
,Canestrinioidea,223466,Arthropods,5,243.7333333,0.012886598,-,-9.847642159,3%-4%,-,-
,Coelotilapia joka,665431,Actinopterians,1,19.7,0.001044932,-,-9.844422027,3%-4%,-,-
roundworms,Nematoda,6231,Metazoans,6938,780,0.041427573,-,-9.843102515,3%-4%,-,-
,Alexiidae,196995,Arthropods,6,196.8,0.010452962,-,-9.843057912,3%-4%,-,-
,Palaeognathae,8783,Aves,55,116.7521246,0.006241489,1.013492745,-9.836589617,3%-4%,-4.740511056,25.57503079
,Petermannia,59026,Embryophytes,2,69.8,0.003745318,-,-9.832882668,3%-4%,-,-
,Plakinidae,81001,Metazoans,55,523,0.028075549,-,-9.832437697,3%-4%,-,-
,Mesogyne insignis,241892,Embryophytes,1,43,0.002320186,-,-9.827308206,3%-4%,-,-
,Sagittarius serpentarius,56258,Aves,1,65.39709575,0.003533569,-,-9.825924748,3%-4%,-,65.47064567
,Calciphilopteris ludens,377232,Embryophytes,1,113.2,0.00617284,-,-9.816752501,3%-4%,-,-
,Batrachedrinae,347707,Arthropods,12,104.775,0.005719733,-,-9.815648333,3%-4%,-,-
,Pipoidea,30319,Amphbians,64,203.6,0.01111497,-,-9.815619672,3%-4%,-,-
,Thyroptera,124758,Mammals,3,54.3,0.002982107,0.950166975,-9.809649289,3%-4%,-4.04250818,34.75634698
,Amphiuma,8311,Amphbians,3,111.3,0.006160164,-,-9.801881093,3%-4%,-,-
,Maxonia apiifolia,449861,Embryophytes,1,84.5,0.004694836,-,-9.7980437,3%-4%,-,-
,Crypteroniaceae,111949,Embryophytes,7,89,0.004946996,-,-9.797611031,3%-4%,-,-
,Mesothelae,58762,Arthropods,100,339.5,0.018917896,-,-9.795120856,3%-4%,-,-
mosses,Bryophyta,3208,Embryophytes,3448,490.6,0.027367251,-,-9.794037318,3%-4%,-,-
,Solenodon,79804,Mammals,2,84.2,0.004716981,0.938710764,-9.789781196,3%-4%,-4.491430421,62.5409072
,Icacinales,1802790,Embryophytes,53,102,0.005745257,-,-9.784353369,3%-4%,-,-
,Pacris xizangensis,997599,Arthropods,1,84.4,0.004761905,-,-9.782674932,3%-4%,-,-
,Paulinia acuminata,1634155,Arthropods,1,84.4,0.004761905,-,-9.782674932,3%-4%,-,-
,Egnatius apicalis,1301191,Arthropods,1,84.4,0.004761905,-,-9.782674932,3%-4%,-,-
,Ostrowskia magnifica,1241225,Embryophytes,1,45.1,0.00255102,-,-9.780144086,3%-4%,-,-
,Himalacodon dicentrifolius,239433,Embryophytes,1,45.1,0.00255102,-,-9.780144086,3%-4%,-,-
,Stenotritidae,237706,Arthropods,6,74.1,0.004213483,-,-9.774881155,3%-4%,-,-
,Theligonum cynocrambe,35919,Embryophytes,1,30.2,0.00172117,-,-9.772592681,3%-4%,-,-
,Cryptangieae,986149,Embryophytes,4,69.8,0.003988036,-,-9.770090437,3%-4%,-,-
,Richardiidae,286443,Arthropods,3,65.1,0.00373599,-,-9.765666974,3%-4%,-,-
,Spondylinae,131712,Arthropods,3,167.6,0.009646302,-,-9.762760812,3%-4%,-,-
,Trogonidae,56309,Aves,39,77.23031997,0.004445458,0.81693658,-9.762664582,3%-4%,-4.543559072,12.34760928
,Parapsectrocladius acuminatus,903462,Arthropods,1,107.8,0.00621118,-,-9.761682023,3%-4%,-,-
,Leptanillinae,213868,Arthropods,17,145,0.008362027,-,-9.760788212,3%-4%,-,-
hog-nosed bat,Craseonycteris thonglongyai,208972,Mammals,1,17.2,0.000992063,-,-9.760632832,3%-4%,-,29.36155441
,Oxytheca,1214365,Embryophytes,2,71,0.004106776,-,-9.75779682,3%-4%,-,-
,Lacantunia enigmatica,409306,Actinopterians,1,87.3,0.005050505,-,-9.757617494,3%-4%,-,-
,Neuropterida,85817,Arthropods,705,298.7,0.017357692,-,-9.753159279,3%-4%,-,-
,Metretopus,219464,Arthropods,2,83,0.004830918,-,-9.751559401,3%-4%,-,-
,Stomatocalyceae,235896,Embryophytes,5,73.8,0.004295533,-,-9.751538447,3%-4%,-,-
,Blephariceromorpha,43785,Arthropods,73,271.2,0.015790612,-,-9.751196239,3%-4%,-,-
,Pseudonemacladus oppositifolius,135655,Embryophytes,1,43.8,0.00255102,-,-9.750895657,3%-4%,-,-
,Marattiaceae,3265,Embryophytes,94,345.2,0.020106952,-,-9.750813619,3%-4%,-,-
,Penthorum,23261,Embryophytes,2,53.6,0.003125,-,-9.749870064,3%-4%,-,-
,Metoponiinae,1559504,Arthropods,3,59.475,0.003484321,-,-9.745038272,3%-4%,-,-
,Psaphidinae,319997,Arthropods,3,59.475,0.003484321,-,-9.745038272,3%-4%,-,-
echinoderms,Echinodermata,7586,Metazoans,1961,657.2,0.038519712,-,-9.744573564,3%-4%,-,-
,Aphyllanthes monspeliensis,59052,Embryophytes,1,48.6,0.002849003,-,-9.744409754,3%-4%,-,-
,Titanotrichum oldhamii,49121,Embryophytes,1,30.8,0.001808318,-,-9.742872692,3%-4%,-,-
,Comatogammarus ferghanensis,1080803,Arthropods,1,38.3,0.002262443,-,-9.736759778,3%-4%,-,-
,Astrocoeniidae,130189,Metazoans,4,249,0.014760148,-,-9.733277356,3%-4%,-,-
,Halacaridae,94797,Arthropods,10,409.8,0.0243309,-,-9.731677357,3%-4%,-,-
,Campylonotoidea,115579,Arthropods,8,292.2,0.017353579,-,-9.731395001,3%-4%,-,-
,Pandaceae,124867,Embryophytes,12,82.2,0.004895961,-,-9.728500036,3%-4%,-,-
,Atelestidae,192422,Arthropods,4,132.9,0.007920792,-,-9.727861034,3%-4%,-,-
,Humiriaceae,4007,Embryophytes,12,81.6,0.004895961,-,-9.721173996,3%-4%,-,-
,Siphonophoridae,245728,Arthropods,3,219.6,0.013215859,-,-9.718145438,3%-4%,-,-
,Mythicomyia,50705,Arthropods,4,145.1,0.008733624,-,-9.717997983,3%-4%,-,-
,Moquinieae,765818,Embryophytes,2,26.65,0.001606426,-,-9.716532779,3%-4%,-,-
,Stratiomyomorpha,43734,Arthropods,140,217.3,0.013112297,-,-9.715483639,3%-4%,-,-
,Sanango,49437,Embryophytes,3,60.9,0.003676471,-,-9.715035241,3%-4%,-,-
,Leptanilloidinae,219564,Arthropods,12,97.7,0.005902607,-,-9.714262723,3%-4%,-,-
,Colletoecema,110688,Embryophytes,2,56.9,0.003442341,-,-9.712898917,3%-4%,-,-
,Erblichia odorata,697079,Embryophytes,1,51.4,0.003134796,-,-9.704829275,3%-4%,-,-
,Anthuridea,96879,Arthropods,9,340,0.020737327,-,-9.704765574,3%-4%,-,-
,Hypoderatidae,474247,Arthropods,6,253.1,0.015463918,-,-9.703030538,3%-4%,-,-
,Ixonanthaceae,112824,Embryophytes,10,66.7,0.004079967,-,-9.701871243,3%-4%,-,-
,Rhyacotriton,43568,Amphbians,4,132.8,0.008213552,-,-9.690813999,3%-4%,-,-
,Maculotriton serriale,1029764,Metazoans,1,70.9,0.004385965,-,-9.690616062,3%-4%,-,-
,Cymia tectum,1078551,Metazoans,1,70.9,0.004385965,-,-9.690616062,3%-4%,-,-
,Neothais harpa,1078561,Metazoans,1,70.9,0.004385965,-,-9.690616062,3%-4%,-,-
,Nassa serta,508925,Metazoans,1,70.9,0.004385965,-,-9.690616062,3%-4%,-,-
,Vasula speciosa,508928,Metazoans,1,70.9,0.004385965,-,-9.690616062,3%-4%,-,-
,Acanthais brevidentata,905926,Metazoans,1,70.9,0.004385965,-,-9.690616062,3%-4%,-,-
,Limnanthaceae,21561,Embryophytes,9,56.7,0.003515625,-,-9.688312171,3%-4%,-,-
,Sarcosperma,191076,Embryophytes,2,77.2,0.004796163,-,-9.686338498,3%-4%,-,-
,Chamidae,61350,Metazoans,14,441.2,0.02745098,-,-9.684851683,4%-5%,-,-
,Tristiridae,323542,Arthropods,6,101.9,0.006349206,-,-9.683417398,4%-5%,-,-
,Lophomyrmex,369157,Arthropods,2,62.8,0.003913894,-,-9.683177483,4%-5%,-,-
,Ocymyrmex,369182,Arthropods,2,62.8,0.003913894,-,-9.683177483,4%-5%,-,-
,Hypocalyptus,140920,Embryophytes,3,56.3,0.003516999,-,-9.680841794,4%-5%,-,-
,Jaracatia spinosa,1043202,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Adenoa cubensis,1269204,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Hyalocalyx setifer,1269210,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Afroqueta capensis,1269211,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Tetrastylis ovalis,231190,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Androsiphonia adenostegia,697058,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Crossostemma laurifolium,697062,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Efulensia clematoides,697067,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Schlechterina mitostemmatoides,697072,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Viridivia suberosa,697077,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Loewia glutinosa,697081,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
,Mathurina penduliflora,697083,Embryophytes,1,50.06666667,0.003134796,-,-9.678546553,4%-5%,-,-
grass scales,Aclerdidae,249417,Arthropods,3,134,0.008403361,-,-9.676963293,4%-5%,-,-
,Cymophyllus fraserianus,100288,Embryophytes,1,17,0.001072961,-,-9.670546159,4%-5%,-,-
,Bonnetiaceae,125011,Embryophytes,12,77.57142857,0.004895961,-,-9.670543905,4%-5%,-,-
,Campynemataceae,284477,Embryophytes,3,88.9,0.005617978,-,-9.669295693,4%-5%,-,-
,Salvadoraceae,4324,Embryophytes,5,30.9,0.001953125,-,-9.669080809,4%-5%,-,-
,Psychopsidae,279474,Arthropods,2,179.8714286,0.011428571,-,-9.663881103,4%-5%,-,-
,Lithogenes villosus,337686,Actinopterians,1,65.3,0.004149378,-,-9.66378897,4%-5%,-,-
,Fontogammarus,1522920,Arthropods,2,71.2,0.004524887,-,-9.66365552,4%-5%,-,-
,Acantholophus,201756,Arthropods,2,32.6,0.002072539,-,-9.663293209,4%-5%,-,-
,Hydnoraceae,26316,Embryophytes,5,109.5,0.006963788,-,-9.662956206,4%-5%,-,-
,Conopophaga,123373,Aves,9,26.33507393,0.001675042,0.979093952,-9.662818774,4%-5%,-3.290319987,11.72792128
snout butterflies,Libytheinae,42279,Arthropods,6,77.6,0.004942339,-,-9.66148393,4%-5%,-,-
,Garnieria spathulifolia,488362,Embryophytes,1,98.5,0.006289308,-,-9.65896075,4%-5%,-,-
,Ptenopus carpi,221576,Lepidosaurians,1,108,0.006896552,-,-9.65886497,4%-5%,-,-
,Urocotyledon inexpectata,707139,Lepidosaurians,1,108,0.006896552,-,-9.65886497,4%-5%,-,-
broad-billed sapayoa,Sapayoa aenigma,239371,Aves,1,42.8779278,0.002754821,0.670017127,-9.652760024,4%-5%,-4.154706056,43.28421254
,Phyllophorinae,323646,Arthropods,2,128.4,0.008264463,-,-9.650940937,4%-5%,-,-
,Paragaon josephi,329953,Arthropods,1,49.90769231,0.003225806,-,-9.646747443,4%-5%,-,-
,Nomioides,178051,Arthropods,3,94.9,0.006147541,-,-9.644526823,4%-5%,-,-
,Urodidae,534396,Arthropods,11,105.7,0.006853583,-,-9.643588656,4%-5%,-,-
,Grammatotheca bergiana,105189,Embryophytes,1,39.3,0.00255102,-,-9.642486359,4%-5%,-,-
,Sagrinae,295311,Arthropods,7,161.2,0.010479042,-,-9.641023855,4%-5%,-,-
toadfishes,Batrachoididae,8065,Actinopterians,34,119.6,0.007798165,-,-9.638019653,4%-5%,-,-
,Sphaeridopinae,1628647,Arthropods,2,95.51428571,0.00623053,-,-9.637569768,4%-5%,-,-
,Vesciinae,741760,Arthropods,2,95.51428571,0.00623053,-,-9.637569768,4%-5%,-,-
,Nardus,15679,Embryophytes,2,29.3,0.001913876,-,-9.6362125,4%-5%,-,-
funnel-web spiders,Dipluridae,88327,Arthropods,15,191,0.0125,-,-9.634300063,4%-5%,-,-
,Fouquieria,13532,Embryophytes,12,94.6,0.006195147,-,-9.63364649,4%-5%,-,-
,Alsophylax pipiens,1208011,Lepidosaurians,1,105.1,0.006896552,-,-9.63164602,4%-5%,-,-
chimaeras,Chimaeriformes,7864,Vertebrates,29,399.4,0.026435734,-,-9.623002051,4%-5%,-,-
,Jugogammarus kusceri,1522913,Arthropods,1,34.1,0.002262443,-,-9.620607266,4%-5%,-,-
,Euchresta,53878,Embryophytes,3,52.8,0.003516999,-,-9.61665845,4%-5%,-,-
,Gesomyrmecini,72799,Arthropods,4,80.7,0.005376344,-,-9.616485249,4%-5%,-,-
,Holoptilinae,911713,Arthropods,3,140.2,0.009345794,-,-9.615898809,4%-5%,-,-
,Microtomus,181505,Arthropods,3,140.2,0.009345794,-,-9.615898809,4%-5%,-,-
,Calypsoinae,1769708,Embryophytes,33,776.75,0.052050473,-,-9.610659941,4%-5%,-,-
,Curtisia dentata,16911,Embryophytes,1,66.3,0.004444444,-,-9.610290299,4%-5%,-,-
,Cyanoneuron,1712802,Embryophytes,2,51.14285714,0.003442341,-,-9.606226414,4%-5%,-,-
,Agastachys odorata,83693,Embryophytes,1,92.8,0.006289308,-,-9.599350842,4%-5%,-,-
,Symphionema montanum,83843,Embryophytes,1,92.8,0.006289308,-,-9.599350842,4%-5%,-,-
bowerbirds,Ptilonorhynchidae,9164,Aves,20,54.97022373,0.003729952,0.731503343,-9.598151697,4%-5%,-4.314359075,20.64540275
,Athacryvac,1562448,Arthropods,2,39.2,0.002663116,-,-9.596935218,4%-5%,-,-
,Pseudoyelicones,286605,Arthropods,2,39.2,0.002663116,-,-9.596935218,4%-5%,-,-
,Rogasella,574455,Arthropods,2,39.2,0.002663116,-,-9.596935218,4%-5%,-,-
gundis,Ctenodactylidae,10164,Mammals,3,23.6,0.001604278,0.853913983,-9.596328133,4%-5%,-3.317294552,20.71277636
,Cytinaceae,91825,Embryophytes,4,43.55,0.00296077,-,-9.59621568,4%-5%,-,-
,Trilepideae,986150,Embryophytes,5,73.2,0.004985045,-,-9.594508296,4%-5%,-,-
,Eoniphargidae,353632,Arthropods,2,56.6,0.003861004,-,-9.592837047,4%-5%,-,-
,Lucioblivio,353619,Arthropods,2,56.6,0.003861004,-,-9.592837047,4%-5%,-,-
,Gogo arcuatus,390447,Actinopterians,1,73.9,0.005050505,-,-9.590979859,4%-5%,-,-
,Xenarthra,9348,Mammals,36,101.1,0.006917756,0.986475805,-9.589774027,4%-5%,-4.622738484,25.48059001
,Cranoglanis bouderius,175798,Actinopterians,1,73.8,0.005050505,-,-9.589625762,4%-5%,-,-
dry-fungus beetles,Sphindidae,196975,Arthropods,7,178,0.012195122,-,-9.588502798,4%-5%,-,-
Phillip's Srilankamys,Srilankamys ohiensis,1036333,Mammals,1,30.3,0.002079002,0.554869796,-9.587014983,4%-5%,-3.99642968,30.3859405
African water rat,Colomys goslingi,119564,Mammals,1,30.3,0.002079002,0.689974006,-9.587014983,4%-5%,-3.779240437,30.3859405
Indian bush rat,Golunda ellioti,121585,Mammals,1,30.3,0.002079002,0.713219954,-9.587014983,4%-5%,-3.746202416,30.3859405
Harrington's rat,Desmomys harringtoni,121587,Mammals,1,30.3,0.002079002,0.711767571,-9.587014983,4%-5%,-3.748234936,30.3859405
Ethiopian striped mouse,Muriculus imberbis,1465659,Mammals,1,30.3,0.002079002,0.750290844,-9.587014983,4%-5%,-3.695674972,30.3859405
,Heimyscus fumosus,209871,Mammals,1,30.3,0.002079002,0.687992754,-9.587014983,4%-5%,-3.782107406,30.3859405
